ID,FECHA_UTC,HORA_UTC,FECHA_CORTE,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,EPICENTRO,DEPARTAMENTO
293,19650512,094238,20223006,-14.002,-76.54,37,5,OCEANO,MAR
294,19650520,095515,20223006,-3.77,-80.76,30,4.9,PERU,TUMBES
295,19650529,042516,20223006,-10.1,-74.4,33,4.6,PERU,PASCO
296,19650603,121231,20223006,-13.9,-76.4,82,4.7,OCEANO,MAR
297,19650604,145334,20223006,-9.166,-78.961,72,4.8,OCEANO,MAR
298,19650605,204110,20223006,-13.74,-71.6,73,4.7,PERU,CUSCO
299,19650608,054650,20223006,-4.01,-78.2,33,4.7,PERU,AMAZONAS
300,19650618,033750,20223006,-4.67,-80.6,33,4.7,PERU,PIURA
301,19650618,224518,20223006,-11.217,-73.661,111,5.6,PERU,JUNIN
302,19650621,104641,20223006,-3.67,-77.89,25,4.9,PERU,AMAZONAS
303,19650624,032949,20223006,-18.375,-70.133,85,5.3,PERU,CHILE
304,19650624,165405,20223006,-15.62,-70.61,191,4.8,PERU,PUNO
305,19650626,055514,20223006,-9.124,-72.975,49,4.9,PERU,UCAYALI
306,19650627,170905,20223006,-2.634,-77.018,121,5.3,ECUADOR,ECUADOR
307,19650630,081544,20223006,-14.638,-75.948,38,4.5,OCEANO,MAR
308,19650702,010948,20223006,-7.65,-76.93,42,4.9,PERU,SAN MARTIN
309,19650702,022816,20223006,-7.75,-76.9,49,4.9,PERU,SAN MARTIN
310,19650708,235119,20223006,-9.7,-79.7,33,4.8,OCEANO,MAR
311,19650709,174641,20223006,-7.7,-80.8,33,4.9,OCEANO,MAR
312,19650713,175802,20223006,-13.2,-75.1,102,4.5,PERU,HUANCAVELICA
313,19650713,223449,20223006,-3.2,-77.7,90,4.9,PERU,LORETO
314,19650714,122957,20223006,-17.65,-69.42,141,5.3,PERU,CHILE
315,19650715,083124,20223006,-6.6,-80.9,36,4.9,OCEANO,MAR
316,19650723,151324,20223006,-8.868,-79.43,48,5.5,OCEANO,MAR
317,19650724,121608,20223006,-3.5,-78.1,33,4.7,PERU,AMAZONAS
318,19650728,194247,20223006,-15.7,-73.9,92,4.6,PERU,AREQUIPA
319,19650730,054518,20223006,-18.139,-70.823,74,5.6,OCEANO,MAR
320,19650730,121107,20223006,-15.1,-70.8,192,4.6,PERU,PUNO
321,19650801,043641,20223006,-4.88,-80.9,66,4.5,PERU,PIURA
322,19650801,061359,20223006,-16.7,-71.4,97,4.6,PERU,AREQUIPA
323,19650803,020153,20223006,-7.429,-81.365,27,6,OCEANO,MAR
324,19650807,052607,20223006,-9.2,-78.7,70,4.9,OCEANO,MAR
325,19650813,005445,20223006,-4.34,-81.08,38,5.6,PERU,PIURA
326,19650822,122425,20223006,-7.86,-74.57,146,4.9,PERU,UCAYALI
327,19650823,000811,20223006,-13.1,-75.2,107,4.7,PERU,HUANCAVELICA
328,19650825,145037,20223006,-17.599,-69.771,143,5.2,PERU,TACNA
329,19650906,162553,20223006,-9.3,-75.9,31,4.9,PERU,HUANUCO
330,19650908,041034,20223006,-11.1,-73.8,99,4.8,PERU,JUNIN
331,19650911,181754,20223006,-11.4,-75.3,33,4.6,PERU,JUNIN
332,19650914,045024,20223006,-12.09,-72.57,72,4.8,PERU,CUSCO
333,19650914,071758,20223006,-9.89,-76.1,142,5.2,PERU,HUANUCO
334,19650916,085723,20223006,-17.2,-70.7,141,4.8,PERU,MOQUEGUA
335,19650919,141749,20223006,-16.33,-74.916,30,5,OCEANO,MAR
336,19650920,063742,20223006,-17.3,-70.5,127,4.9,PERU,TACNA
337,19650920,181041,20223006,-6.43,-74.93,138,5.3,PERU,LORETO
338,19650924,094041,20223006,-9.44,-79.14,37,4.8,OCEANO,MAR
339,19650926,054756,20223006,-13,-70.3,37,4.8,PERU,MADRE DE DIOS
340,19651004,212512,20223006,-10.9,-75,33,4.7,PERU,JUNIN
341,19651006,024023,20223006,-9.8,-74.9,122,4.9,PERU,PASCO
342,19651008,222850,20223006,-8.263,-75.895,140,5.3,PERU,LORETO
343,19651010,193500,20223006,-7.7,-74.6,140,4.8,PERU,LORETO
344,19651011,000704,20223006,-3.6,-77.35,146,4.5,PERU,LORETO
345,19651017,140905,20223006,-16.1,-73.5,106,4.9,PERU,AREQUIPA
